SMILES,CatalogID,MW,LOGP,Rotating_bonds,HB_acceptors,HB_donors,fp_similarity,ID,mol_prepared,aligned_mol,RMSD
c1ccc(Nc2nc(NCC3COc4cscc4O3)nc3[nH]cnc23)cc1,s_27____25546064____10803818,380.4,3.002008,5,7,3,0.679245,223,<rdkit.Chem.rdchem.Mol object at 0x177c728f0>,<rdkit.Chem.rdchem.Mol object at 0x177c6ea70>,4.593590034598566
Clc1cncc(OCCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)n1,s_27____25528582____10803818,382.8,2.47433,7,8,3,0.679245,1323,<rdkit.Chem.rdchem.Mol object at 0x177c729d0>,<rdkit.Chem.rdchem.Mol object at 0x177cbde90>,4.952390937137007
CC(C)Oc1ccc2c(c1)CCC2Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____16976830____10803818,400.5,4.731355,6,6,3,0.666667,371,<rdkit.Chem.rdchem.Mol object at 0x177c72ab0>,<rdkit.Chem.rdchem.Mol object at 0x177cbdf80>,5.169392707296143
CC(Nc1nc(Nc2ccccc2)c2[nH]cnc2n1)c1ccc2c(c1)OCCCO2,s_27____1671922____10803818,402.5,3.561086,5,7,3,0.666667,234,<rdkit.Chem.rdchem.Mol object at 0x177c72b90>,<rdkit.Chem.rdchem.Mol object at 0x177cbdcb0>,5.121675728875876
CC(C)Oc1cnc(CNc2nc(Nc3ccccc3)c3[nH]cnc3n2)cn1,s_27____25525738____10803818,376.4,2.427715,7,8,3,0.666667,910,<rdkit.Chem.rdchem.Mol object at 0x177c72c70>,<rdkit.Chem.rdchem.Mol object at 0x177cbdfd0>,5.10250167090304
O[C@@H]1c2ccccc2OC[C@H]1Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____18059196____10803818,374.4,2.671655,4,7,4,0.666667,967,<rdkit.Chem.rdchem.Mol object at 0x177c72d50>,<rdkit.Chem.rdchem.Mol object at 0x177cbdf30>,5.090764547658244
C[C@H]1COc2ccccc2[C@H]1Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____19739048____10803818,372.4,3.841273,4,6,3,0.666667,1019,<rdkit.Chem.rdchem.Mol object at 0x177c72e30>,<rdkit.Chem.rdchem.Mol object at 0x177ce3a10>,5.23670811849499
c1ccc(Nc2nc(NCCc3ccc(OCCN4CCCC4)cc3)nc3[nH]cnc23)cc1,s_27____8272186____10803818,443.6,4.126851,10,7,3,0.666667,1163,<rdkit.Chem.rdchem.Mol object at 0x177c72f10>,<rdkit.Chem.rdchem.Mol object at 0x177cbda30>,4.625399007148702
Clc1ccc(OCCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)cc1,s_27____104098____10803818,380.8,4.09504,7,6,3,0.666667,1023,<rdkit.Chem.rdchem.Mol object at 0x177c72ff0>,<rdkit.Chem.rdchem.Mol object at 0x177cbe110>,4.980902045049539
c1ccc(Nc2nc(NC3CCCOc4ccccc43)nc3[nH]cnc23)cc1,s_27____2536784____10803818,372.4,3.879312,4,6,3,0.666667,245,<rdkit.Chem.rdchem.Mol object at 0x177c730d0>,<rdkit.Chem.rdchem.Mol object at 0x177cbd9e0>,4.9831626112122835
Clc1ccc(OCC2CCN(c3nc(Nc4ccccc4)c4[nH]cnc4n3)CC2)cn1,s_27____9449014____10803818,435.9,4.201573,6,7,2,0.654545,487,<rdkit.Chem.rdchem.Mol object at 0x177c731b0>,<rdkit.Chem.rdchem.Mol object at 0x177cbe340>,5.469871254052096
COc1ccc(CCCCNc2nc(Nc3ccccc3)c3[nH]cnc3n2)cc1,s_27____24515122____10803818,388.5,4.591546,9,6,3,0.653846,406,<rdkit.Chem.rdchem.Mol object at 0x177c73290>,<rdkit.Chem.rdchem.Mol object at 0x177cbde40>,5.244079825276089
COc1cccc(CC(C)Nc2nc(Nc3ccccc3)c3[nH]cnc3n2)c1,s_27____4833324____10803818,374.4,4.118984,7,6,3,0.653846,723,<rdkit.Chem.rdchem.Mol object at 0x177c73370>,<rdkit.Chem.rdchem.Mol object at 0x177cbe1b0>,4.919343377315158
CC(C)(C)Oc1ccc(CNc2nc(Nc3ccccc3)c3[nH]cnc3n2)cc1,s_27____1944660____10803818,388.5,4.467707,7,6,3,0.653846,391,<rdkit.Chem.rdchem.Mol object at 0x177c73450>,<rdkit.Chem.rdchem.Mol object at 0x177cbe200>,5.04579700273776
COc1ccccc1CCCNc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____25522962____10803818,374.4,4.146977,8,6,3,0.653846,892,<rdkit.Chem.rdchem.Mol object at 0x177c73530>,<rdkit.Chem.rdchem.Mol object at 0x177cbe160>,4.598972315268543
CC(C)COc1ccccc1CNc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____1181050____10803818,388.5,4.658051,8,6,3,0.653846,918,<rdkit.Chem.rdchem.Mol object at 0x177c73610>,<rdkit.Chem.rdchem.Mol object at 0x177cbe570>,4.628660827450797
