ID,SMILES_Prepared,Molecule_Prepared,SMILES,CatalogID,MW,LOGP,Rotating_bonds,HB_acceptors,HB_donors,index_ID,fp_similarity,aligned_mol,RMSD
,CCCOC1(CNc2nc(Nc3ccccc3)c3[nH]cnc3n2)CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x16483bb50>,CCCOC1(CNc2nc(Nc3ccccc3)c3[nH]cnc3n2)CCCCC1,s_27____6548850____10803818,380.5,4.402339734666666,8,6,3,1264,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbad50>,4.930996109237679
,O[C@@]1(CNc2nc(Nc3ccccc3)c3[nH]cnc3n2)C[C@H]2CC[C@@H]1O2,<rdkit.Chem.rdchem.Mol object at 0x16483bc30>,O[C@@]1(CNc2nc(Nc3ccccc3)c3[nH]cnc3n2)C[C@H]2CC[C@@H]1O2,s_27____25525064____10803818,352.4,1.5071703136666668,5,7,4,756,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbac00>,5.523190347340873
,c1ccc(Nc2nc(NCC3CCC4(CCOCC4)CC3)nc3[nH]cnc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x16483bd80>,c1ccc(Nc2nc(NCC3CCC4(CCOCC4)CC3)nc3nc[nH]c23)cc1,s_27____25525450____10803818,392.5,3.7257788016666655,5,6,3,747,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbac70>,4.821781344537668
,c1ccc(Nc2nc(NC[C@@H]3COCC34CCC4)nc3[nH]cnc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x16483be60>,c1ccc(Nc2nc(NCC3COCC34CCC4)nc3nc[nH]c23)cc1,s_27____25529688____10803818,350.4,2.5895369936666666,5,6,3,745,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbab90>,5.042977899735382
,c1ccc(Nc2nc(NC[C@H]3CC[C@@H](C4CC4)O3)nc3[nH]cnc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x16483bf40>,c1ccc(Nc2nc(NC[C@H]3CC[C@@H](C4CC4)O3)nc3nc[nH]c23)cc1,s_27____13467706____10803818,350.4,3.1058790196666672,6,6,3,744,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbab20>,4.51609990064227
,OCCOC1(CNc2nc(Nc3ccccc3)c3[nH]cnc3n2)CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x1659040b0>,OCCOC1(CNc2nc(Nc3ccccc3)c3[nH]cnc3n2)CCCCC1,s_27____13579120____10803818,382.5,2.8329073729999994,8,7,4,739,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbaa40>,4.820240999663067
,CC(C)(C)[C@H]1OCCC[C@@H]1Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,<rdkit.Chem.rdchem.Mol object at 0x165904190>,CC(C)(C)C1OCCCC1Nc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____25526168____10803818,366.5,3.9476057723333335,5,6,3,738,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cbaab0>,5.4417287278964075
,CCO[C@H](CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)[C@@H]1CCOC1,<rdkit.Chem.rdchem.Mol object at 0x165904270>,CCOC(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)C1CCOC1,s_27____17757172____10803818,368.4,2.2353200713333328,8,7,3,733,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cba960>,5.272385747145317
,COCC(C)(C)CCCNc1nc(Nc2ccccc2)c2[nH]cnc2n1,<rdkit.Chem.rdchem.Mol object at 0x165904350>,COCC(C)(C)CCCNc1nc(Nc2ccccc2)c2[nH]cnc2n1,s_27____10210274____10803818,354.5,3.5648348909999985,9,6,3,732,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cba9d0>,4.956104955320388
,c1ccc(Nc2nc(NCCOCCC3CCCC3)nc3[nH]cnc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x165904430>,c1ccc(Nc2nc(NCCOCCC3CCCC3)nc3nc[nH]c23)cc1,s_27____25522824____10803818,366.5,3.836299678,9,6,3,1273,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cba8f0>,5.0016469857859
,CCC(CC)[C@H](CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)OC,<rdkit.Chem.rdchem.Mol object at 0x165904510>,CCC(CC)C(CNc1nc(Nc2ccccc2)c2[nH]cnc2n1)OC,s_27____21595212____10803818,354.5,3.9931777156666657,9,6,3,728,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cba810>,4.814989563919254
,CC(C)(C)O[C@@H]1C[C@H](Nc2nc(Nc3ccccc3)c3[nH]cnc3n2)C1(C)C,<rdkit.Chem.rdchem.Mol object at 0x1659045f0>,CC(C)(C)O[C@@H]1C[C@H](Nc2nc(Nc3ccccc3)c3[nH]cnc3n2)C1(C)C,s_27____10975362____10803818,380.5,3.893533604333333,6,6,3,720,0.2545454545454545,<rdkit.Chem.rdchem.Mol object at 0x174cba880>,5.208845567832777
